jaar,Aantal auto’s,aantal inwoners,Aantal auto’s tov 2000,+/- auto’s,+/- inwoners,ratio,Per 1000 inw
2018,72857,202810,130,1054,174,"6,057",359
2017,71803,202636,128,1390,1684,"0,825",354
2016,70413,200952,126,1110,616,"1,802",350
2015,69303,200336,124,480,2019,"0,238",346
2014,68823,198317,123,126,2899,"0,043",347
2013,68697,195418,123,132,2291,"0,058",352
2012,68565,193127,122,1008,3136,"0,321",355
2011,67557,189991,121,671,2693,"0,249",356
2010,66886,187298,119,1084,3071,"0,353",357
2009,65802,184227,117,798,1743,"0,458",357
2008,65004,182484,116,854,871,"0,98",356
2007,64150,181613,114,336,884,"0,38",353
2006,63814,180729,114,503,125,"4,024",353
2005,63311,180604,113,13,1419,"0,009",351
2004,63298,179185,113,327,2013,"0,162",353
2003,62971,177172,112,1776,1603,"1,108",355
2002,61195,175569,109,2264,1319,"1,716",349
2001,58931,174250,105,2894,1111,"2,605",338
2000,56037,173139,100,3329,1946,"1,711",324
1999,52708,171193,94,2328,2441,"0,954",308
1998,50380,168752,90,1703,64,"26,609",299
1997,48677,168688,87,-3058,-939,"3,257",289
1996,51735,169627,92,626,-1031,"-0,607",305
1995,51109,170658,91,-517,,,
1994,51626,,92,143,,,
1993,51483,,92,512,,,
1992,50971,,91,,,,
